Pathway	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lactococcus.s__Lactococcus_lactis	0	0	0	5.61187e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31959e-06	2.83491e-06	0	0	0	2.11053e-05	0	4.01433e-06	0	0	5.43886e-06	2.06141e-05	0	0	0	3.10277e-05	0	0	0	1.39513e-06	0	0	0	0	0	0	0	0	7.63443e-06	0	0	0	0	0	0	0	2.53546e-06	0	0	0	0	0	5.24959e-06	0	2.65629e-06	0	0	0	0	0	9.48942e-06	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Mucispirillum.s__Mucispirillum_schaedleri	0.000115035	0	0	0	4.60645e-05	0	0	0	2.81933e-05	0	0	0	0	3.58753e-05	4.92238e-05	1.42599e-05	3.13446e-05	0	0	0	0	0	0.000144205	2.07231e-05	5.52681e-05	1.93159e-05	0	0	0.00013294	3.22824e-05	0	0	0	2.48597e-05	0.000109085	5.86269e-05	0	0	2.51192e-05	0	7.47249e-05	4.73434e-05	0	3.36454e-05	0	6.02336e-06	0	9.16181e-05	0	4.85142e-05	0	0	0	4.37531e-05	0.000167567	0	0.000112052	0.000156143	2.51417e-05	3.96191e-05	1.78957e-05	0	2.64917e-05	1.63572e-05	0	0	2.04881e-05	2.07768e-05	0	6.29337e-05	0	6.57592e-05	0	0	8.98337e-06	2.13828e-05	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64305e-06	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04138e-06	0	0	0	3.32401e-05	0	0	0	0	4.26323e-06	0	0	0	0	0	7.44276e-06	0	0	0	0	0	1.15855e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27393e-05	0	0	0	0	0	0	0	0	0	0	0	5.41075e-06	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.000192091	0.000338682	0.000611095	0.000507279	0.000267824	2.96611e-05	0.000608293	0.000523451	0.000561567	0.000524032	0.000383564	0.00045978	0.000392437	0.000144539	0.00019909	0.00110297	0.000565995	0.000236082	0.000509712	0.000236158	0.000513969	0.000432827	0.000401443	0.000611549	0.000681445	0.000470672	0.000461708	0.000388831	0.000188084	0.000700091	0.00063177	0.000432708	0.000283159	0.00066202	0.000272043	0.000177651	0.000341253	0.000179255	0.000118391	0.000468768	0.000555474	0.00037787	0.000376202	0.000307819	0.00037426	0.000290822	0.000262837	0.000250219	0.000564007	0.000538186	0.00040333	0.000670002	0.000255238	0.000299433	0.000501534	0.000316822	0.000450129	8.79787e-05	0.000215866	0.000393378	0.000592311	0.000448162	0.000475901	0.000301673	0.000551281	0.00038474	0.000471258	0.000424066	0.000275147	0.000261803	0.00065678	0.000222106	0.000239271	0.000529147	0.000324644	0.000423113	0.000256594	0.000178312	0.000311017
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18193e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19457e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.37792e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0	0	0	3.32565e-06	0	4.17733e-06	0	3.66677e-06	0	0	8.21789e-06	0	8.54901e-06	6.86987e-06	1.22386e-06	6.24333e-06	0	5.72629e-06	2.84711e-06	0	5.15739e-06	5.07172e-06	6.68935e-06	0	1.94911e-06	1.55911e-06	0	4.02836e-06	2.25868e-06	0	8.75884e-06	0	0	0	0	0	2.53719e-06	0	4.00965e-06	0	0	0	1.70204e-06	0	0	5.58045e-06	2.04748e-06	0	0	4.43835e-06	0	8.83957e-06	3.5247e-07	0	3.51976e-05	2.36632e-06	3.61773e-06	1.81684e-06	0	1.65079e-06	5.30991e-06	2.9383e-06	0	5.61007e-06	3.02277e-06	0	2.94915e-06	6.441e-06	0	3.71202e-06	3.4392e-06	4.31827e-06	2.45385e-06	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85266e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33572e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism|unclassified	0	0	0	0	0	0	3.32565e-06	0	4.17733e-06	0	2.49733e-06	0	0	6.87781e-07	0	0	3.86184e-06	1.22386e-06	4.96023e-06	0	3.5041e-06	0	0	0	3.49828e-06	0	0	0	1.55911e-06	0	3.26659e-06	2.25868e-06	0	4.49093e-06	0	0	0	0	0	2.53708e-06	0	2.47253e-06	0	0	0	1.70204e-06	0	0	0	0	0	0	4.43835e-06	0	6.28042e-06	3.5247e-07	0	0	2.36632e-06	3.61773e-06	0	0	1.65079e-06	5.30991e-06	2.9383e-06	0	0	2.72692e-06	0	2.94915e-06	6.441e-06	0	3.71202e-06	0	4.31827e-06	2.45385e-06	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	4.17828e-05	1.02176e-05	8.61238e-05	8.33778e-05	8.79964e-05	5.31316e-05	2.96545e-05	1.31479e-05	7.20055e-07	7.02171e-05	7.53966e-05	3.92811e-05	5.56898e-06	0.000121062	5.14196e-06	1.14037e-05	7.57819e-06	7.24962e-05	7.57698e-06	3.31335e-05	1.11834e-05	7.03949e-05	0	4.05031e-06	2.71281e-05	3.6956e-05	1.03582e-05	4.45897e-05	0.000161378	1.33938e-05	2.54537e-05	1.20114e-05	0.000311005	3.16406e-05	7.66813e-05	5.62698e-05	6.97767e-05	9.33022e-05	0.000305258	8.49907e-05	5.00459e-05	0	0.000327257	2.63786e-05	3.97366e-05	4.43169e-06	2.06007e-05	8.30415e-05	0	1.20559e-05	1.07866e-05	1.63412e-05	3.99659e-05	0	2.15445e-05	0.000108328	0.000391227	0.000104667	0	9.25029e-06	0.000162357	9.80973e-06	2.3458e-05	8.09166e-05	1.31338e-05	6.89917e-05	3.43966e-05	9.58943e-05	3.87397e-05	7.7436e-05	2.81673e-06	8.21812e-05	0	1.55054e-05	0.000104462	7.67386e-05	0	0.000111726	4.40681e-05
LACTOSECAT-PWY: lactose and galactose degradation I|g__Lactobacillus.s__Lactobacillus_johnsonii	0	3.35139e-06	3.08337e-05	0	2.89507e-06	0	0	0	0	2.18969e-06	1.09418e-05	1.34432e-05	0	0	0	0	0	0	2.88106e-06	0	0	4.14834e-06	0	0	0	2.61484e-05	6.02922e-06	0	1.6683e-05	0	9.42236e-06	0	3.72987e-05	0	0	0	3.45091e-06	0	0	2.85781e-06	0	0	0	0	1.93663e-06	0	0	0	0	0	0	1.24717e-05	0	0	0	0	0.000142244	0	0	0	0	0	0	1.75103e-06	0	1.32921e-05	0	0	0	1.92598e-06	0	0	0	0	9.83519e-06	7.67718e-06	0	0	1.65612e-06
LACTOSECAT-PWY: lactose and galactose degradation I|g__Lactobacillus.s__Lactobacillus_murinus	0	0	0	0	3.29931e-06	0	3.96918e-06	0	0	5.69559e-06	0	0	0	0	0	1.58926e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85361e-06	0	9.62822e-06	1.73612e-05	0	0	0	0	0	1.85847e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.46013e-06	0	0	0	0	0	4.03969e-06	0	0	1.77791e-06	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Lactococcus.s__Lactococcus_lactis	4.61422e-06	0	0	3.679e-05	3.80325e-05	1.14986e-05	0	4.43028e-06	0	0	0	0	0	5.26426e-06	0	0	0	2.75729e-05	0	0	0	0	0	0	0	0	0	1.68864e-05	2.59369e-05	0	0	4.51374e-06	0.000152115	0	3.25429e-05	3.81718e-05	0	6.49791e-05	0.000209136	0	0	0	0.00024551	0	0	0	1.05944e-05	4.70796e-05	0	0	0	0	1.48323e-05	0	7.51182e-06	5.083e-05	0	0	0	0	0	3.41838e-06	0	2.55087e-05	2.08799e-06	1.65743e-05	0	0	6.14312e-06	3.07067e-05	0	2.57913e-05	0	0	0	0	0	6.90585e-05	1.29245e-05
LACTOSECAT-PWY: lactose and galactose degradation I|unclassified	2.07184e-05	6.58342e-06	3.84492e-06	1.11118e-05	0	1.08098e-05	3.94178e-06	0	7.16205e-07	5.0376e-06	0	0	5.56206e-06	1.64107e-05	5.132e-06	8.64369e-06	0	1.38409e-06	0	0	1.24729e-06	0	0	3.93946e-06	0	2.44285e-06	0	0	0	8.6999e-06	0	2.8993e-06	0	0	0	0	0	4.17112e-06	0	3.25135e-06	0	0	4.78815e-06	0	0	0	0	0	0	0	4.59501e-06	0	0	0	4.41472e-06	5.35175e-06	0	2.77563e-05	0	8.92335e-06	0	3.84812e-06	0	4.04405e-06	4.59753e-06	3.71311e-06	0	0	0	7.21891e-07	0	0	0	1.47582e-05	2.93192e-06	0	0	0	0
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30943e-06	0	0	0	0	0	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85984e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28515e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58752e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	2.79726e-05	3.5728e-05	2.44295e-05	0	0	0	0	0	1.25245e-05	0	1.38598e-05	0	1.51728e-06	2.76862e-06	1.2028e-05	0	0	1.9533e-06	0	0	0	0	0	0	2.32911e-05	1.67662e-05	1.30299e-06	0	0	5.0162e-05	4.97123e-06	1.41187e-05	1.13999e-05	0	2.14376e-05	7.27817e-05	0	0	0	6.457e-05	0	0	0	1.41253e-05	3.07549e-05	0	0	0	0	0	0	1.05058e-05	1.9356e-05	0	2.88905e-05	0	0	0	0	0	1.5261e-05	0	1.11899e-05	3.26791e-06	0	1.17172e-05	1.78702e-05	0	1.46415e-05	0	0	0	0	0	1.72614e-05	6.41748e-06
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17515e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18039e-06	0	3.41234e-06	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	0	0	0	2.22429e-05	0	0	0	0	0	0	0	1.23675e-05	0	2.87906e-06	0	0	2.76564e-06	0	0	0	1.94737e-06	0	0	0	0	0	0	1.58429e-05	6.16509e-06	1.30237e-06	0	0	4.17017e-05	0	1.24783e-05	0	0	1.82073e-05	0	0	0	0	3.68626e-05	0	0	0	4.07967e-06	2.34211e-05	0	0	0	0	0	0	9.79456e-06	0	0	1.25146e-05	0	0	0	0	0	8.17634e-06	0	4.77509e-06	2.01289e-06	0	0	1.25198e-05	0	3.27231e-06	0	0	0	0	0	2.48258e-06	1.63921e-06
METH-ACETATE-PWY: methanogenesis from acetate	8.09203e-05	0.000276361	0.000177133	0.000382179	0.000177373	0	0.000343613	0.000231254	0.000355112	0.000317943	0.000180792	0.000395086	0.000315532	0.000163079	0.000182766	0.000850112	0.000615796	0.00019418	0.000227459	9.03366e-05	0.00018287	0.000304215	0.000113273	0.000305827	0.000331408	0.000321881	0.000140256	0.000235069	9.83055e-05	0.000605003	0.000286813	0.000366083	2.57379e-05	0.000321145	0.000211653	3.74237e-05	0.000241852	0.000124992	4.99224e-05	0.000477188	0.000349622	0.000277744	0.000160908	0.000242155	0.000354071	0.00027823	0.000259183	0.000272258	0.000144445	0.000330646	0.000157177	0.000354858	0.000154226	0.000120002	0.000293336	0.000101185	0.00017401	2.20317e-05	0.000318543	0.00036643	0.00025964	0.000282933	0.000364711	0.000329034	0.000319765	0.000134433	0.000298633	0.00033628	0.000370327	0.000171542	0.000600141	0.000107267	9.40994e-05	0.000237187	0.000301825	0.000250457	7.43265e-05	0.000188979	0.000212178
METH-ACETATE-PWY: methanogenesis from acetate|unclassified	7.37918e-05	0.00026489	0.000175107	0.000363782	0.000169994	0	0.000326187	0.000221668	0.000335141	0.000301899	0.000168736	0.000386858	0.000280563	0.000125643	0.000173792	0.000793927	0.00057356	0.000178124	0.000206508	8.9651e-05	0.000168298	0.000246806	0.000108368	0.000274803	0.000309097	0.000287124	0.000137149	0.000205857	9.00261e-05	0.00057649	0.000264618	0.000352071	2.56005e-05	0.000304799	0.000186135	3.68715e-05	0.000149569	0.000121806	4.6341e-05	0.000373896	0.000334155	0.000258671	0.000156937	0.000185519	0.000309001	0.000230529	0.000197187	0.000255233	0.000111313	0.000307861	0.000154753	0.000312185	0.000144718	0.000114659	0.000276696	9.83214e-05	0.00014044	2.03171e-05	0.000300255	0.000278331	0.000237623	0.000270484	0.000320328	0.000279538	0.000313381	0.000132	0.000245236	0.000279557	0.000318002	0.000160185	0.000542962	0.000103175	8.73083e-05	0.000229678	0.000265065	0.000209901	7.30283e-05	0.000185679	0.000202465
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10596e-06	0	0	0	9.68785e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01115e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.97121e-08	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.02939e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66997e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99626e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32221e-08	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	2.48175e-05	3.2377e-05	2.24622e-05	0	0	0	0	0	1.09933e-05	0	1.22106e-05	0	1.35445e-06	2.52481e-06	1.08118e-05	0	0	1.71023e-06	0	0	0	0	0	0	2.08712e-05	1.47753e-05	1.37182e-06	0	0	4.61599e-05	4.39945e-06	1.28529e-05	1.31553e-05	0	1.96626e-05	6.6594e-05	0	0	0	6.15655e-05	0	0	0	1.26681e-05	2.71877e-05	0	0	0	0	0	0	9.33461e-06	2.0715e-05	0	2.54646e-05	0	0	0	0	0	1.37986e-05	0	1.02064e-05	2.86258e-06	0	1.03569e-05	1.66304e-05	0	1.35956e-05	0	0	0	0	0	1.86089e-05	7.12352e-06
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11266e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47275e-06	0	3.69684e-06	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis|unclassified	0	0	0	2.00982e-05	0	0	0	0	0	0	0	1.09839e-05	0	2.6162e-06	0	0	2.52123e-06	0	0	0	1.70788e-06	0	0	0	0	0	0	1.41812e-05	6.83301e-06	1.37074e-06	0	0	3.84553e-05	0	1.13126e-05	0	0	1.67332e-05	0	0	0	0	3.6567e-05	0	0	0	3.58508e-06	2.07998e-05	0	0	0	0	0	0	8.83966e-06	0	0	1.13923e-05	0	0	0	0	0	8.88147e-06	0	5.26634e-06	2.22978e-06	0	0	1.21853e-05	0	3.7853e-06	0	0	0	0	0	3.1443e-06	2.05017e-06
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86565e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.87039e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62774e-07	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52226e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.74015e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11559e-07	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	2.20953e-05	0	8.70706e-06	1.38575e-05	7.2837e-05	9.96723e-05	0	1.05576e-05	0	1.71773e-05	0	1.1332e-05	2.55454e-05	3.82629e-05	4.559e-05	0	0	2.09592e-05	1.12807e-05	0	5.90927e-06	0	0	2.31935e-06	0	0	1.15794e-05	5.6422e-06	2.42145e-05	8.15728e-06	0	1.02134e-05	2.34811e-06	0	4.17798e-05	2.00318e-05	0	7.35187e-06	2.43093e-05	0	4.04412e-06	0	1.15239e-05	0	0	4.66752e-06	0	0	0	0	2.9972e-05	0	0	4.31567e-06	0	3.51655e-05	5.47326e-05	9.18274e-05	0	0	6.25845e-06	0	1.44147e-05	2.83819e-05	0	1.25867e-05	0	1.17997e-05	2.13779e-05	4.47936e-05	0	2.37156e-05	0	0	0	6.12049e-06	0	4.21962e-05	1.48071e-05
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|g__Bacteroides.s__Bacteroides_uniformis	1.06806e-05	0	7.83447e-06	1.34003e-05	4.48866e-05	4.8552e-05	0	1.03386e-05	0	1.39072e-05	0	8.96538e-06	2.24811e-05	2.07689e-05	3.68504e-05	0	0	1.393e-05	4.80489e-06	0	4.25339e-06	0	0	0	0	0	1.04823e-05	2.78078e-06	1.85002e-05	5.47004e-06	0	9.51732e-06	0	0	2.83955e-05	1.14633e-05	0	5.90026e-06	1.6293e-05	0	0	0	1.03772e-05	0	0	0	0	0	0	0	2.90141e-05	0	0	0	0	2.5944e-05	0	0	0	0	0	0	1.02487e-05	1.58833e-05	0	0	0	3.3395e-06	1.7486e-05	1.88352e-05	0	1.51407e-05	0	0	0	0	0	2.9064e-05	1.2222e-05
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9567e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82015e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|unclassified	0	0	0	0	5.59764e-06	0	0	0	0	0	0	0	0	4.00673e-06	0	0	0	5.12536e-06	0	0	0	0	0	0	0	0	0	2.19638e-06	0	0	0	0	2.32919e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82964e-06	0	5.8761e-06	7.54727e-06	7.81167e-06	0	0	0	0	0	0	0	0	0	1.56203e-06	0	1.45029e-05	0	3.38229e-06	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.000238242	0.000237884	0.000343147	0.000283736	0.000321715	0.00021254	0.000246623	0.000454709	0.000340564	0.000334642	0.000218521	0.000267232	0.000330065	0.000335521	0.000266044	0.00032919	0.000219943	0.000254439	0.000300889	0.000123135	0.000351156	0.000245846	0.000419532	0.000356139	0.000419282	0.000304031	0.000338834	0.000352385	0.000291058	0.000245584	0.000378975	0.000389445	0.000271526	0.000218593	0.000327248	0.000334478	0.000258154	0.000258717	0.000306042	0.000257956	0.000268581	0.000277914	0.000276283	0.000272701	0.000178544	0.000216842	0.000265947	0.00034914	0.000477227	0.000292292	0.00038075	0.000300393	0.000184141	0.000308059	0.000297008	0.000290512	0.000312666	0.000176377	0.000215659	0.000349549	0.00032643	0.000473656	0.00050922	0.000307228	0.0003012	0.000226124	0.000372931	0.000284723	0.000304432	0.000338228	0.000327596	0.000372684	0.00021082	0.00018859	0.000255446	0.000280737	0.000286775	0.000370553	0.00044683
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Acetatifactor.s__Acetatifactor_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00746e-05	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Acutalibacter.s__Acutalibacter_muris	0	0	0	0	0	0	0	0	0	0	5.43563e-06	0	0	0	0	0	2.10408e-05	0	1.26476e-05	0	0	0	0	0	0	0	0	0	0	7.9516e-06	0	0	0	0	0	0	0	0	0	0	1.30137e-05	1.07968e-05	0	0	0	0	0	0	0	0	0	1.19205e-05	8.76812e-06	3.23594e-05	0	0	0	0	6.19784e-06	0	0	0	9.90272e-06	0	0	0	6.6631e-06	1.92218e-05	0	0	6.79382e-06	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	0	0	0	0	1.39229e-06	0	0	0	0	0	0	0	0	0	0	4.51612e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32136e-06	0	0	0	0	0	0	6.53641e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77141e-06	0	0	0	0	0	0	0	7.0708e-06	0	0	0	0	0	0	0	3.08905e-06	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_sartorii	2.84315e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10863e-05	0	0	0	0	0	0	0	1.79336e-05	8.65968e-06	0	0	0	0	0	0	0	0	0	1.29938e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3235e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_uniformis	0	0	8.5585e-06	1.06777e-05	3.92913e-05	4.20385e-05	0	1.10507e-05	0	1.01704e-05	0	0	1.70131e-05	1.88456e-05	3.07756e-05	0	0	8.32919e-06	0	0	5.44237e-06	0	0	0	0	0	1.0364e-05	0	1.66258e-05	4.02343e-06	0	1.1313e-05	0	0	2.18388e-05	0	0	0	8.64301e-06	0	0	0	6.51008e-06	0	0	0	0	0	0	0	2.81244e-05	2.94137e-06	0	0	0	2.10361e-05	0	0	0	0	0	0	6.74159e-06	1.02955e-05	0	0	0	0	1.50772e-05	1.31216e-05	0	1.64967e-05	0	0	0	0	0	1.88802e-05	9.41337e-06
