Pathway	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	0	0	0	0	0	0	0	0	0	1.05E-06	0	6.07E-07	0	0	0	0	0	0	8.79E-07	0	0	0	2.01E-05	0	0	0	0	0	0	0	2.10E-05	0	5.17E-07	0	0	3.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.18E-05	0	0	0	0	0	0	0	0	7.17E-06	6.51E-06	2.85E-06	9.09E-06	8.75E-06	0	0	4.13E-05	0	1.60E-05	2.10E-05	2.95E-05	0	0	3.35E-06	0	0	0	0	0	0	0	0	1.87E-05	0	0	0	0	0	0	1.28E-05	0	0	9.31E-07	0	0	0	0	0	0	0	0	1.42E-05	0	0	0	0	0	0	0	0	0	1.94E-05	0	3.57E-06	0	0	4.50E-05	0	0	0	1.16E-06	0	0	0	0	0	0	2.19E-05	0	0	0	8.25E-06	0	1.50E-05	0	0	0	0	0	0	0	2.29E-05	0	0	0	0	0	6.56E-06	0	0	9.73E-06	0	8.29E-06	0	1.81E-06	0	0	0	0	0	0	0	0	6.57E-06	0	3.38E-05	0	0	0	0	2.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.10E-06	0	1.77E-05	0	0	0	1.58E-05	0	0	0	0	0	0	0	0	0	0	2.58E-05	0	0	0	0	0.000107241	2.50E-05	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	2.50E-05	3.83E-06	3.87E-05	2.65E-05	1.06E-05	5.24E-05	1.34E-06	0	8.39E-05	1.57E-06	5.90E-07	2.11E-06	1.45E-05	5.52E-05	1.23E-05	5.42E-05	1.87E-05	1.78E-05	6.72E-07	3.36E-06	5.50E-06	3.17E-05	5.15E-06	2.30E-05	8.24E-06	0	0	5.60E-06	5.54E-06	2.47E-06	7.89E-06	1.89E-05	3.57E-06	1.79E-05	5.62E-05	3.65E-06	3.12E-06	0	8.28E-05	1.92E-05	1.75E-05	1.70E-05	1.80E-05	0.000140219	3.26E-05	2.50E-06	0	3.10E-05	4.44E-05	3.89E-06	1.99E-05	1.30E-05	5.57E-05	8.77E-07	0.000119239	3.84E-05	5.21E-05	0	0	7.42E-07	1.75E-05	1.52E-05	1.26E-05	2.36E-05	0	0.000102664	2.11E-05	2.10E-05	3.50E-05	4.67E-06	6.65E-06	2.31E-06	0	3.30E-05	3.47E-06	0	6.62E-05	1.38E-05	8.27E-06	7.18E-05	1.40E-05	1.06E-05	0.000126694	0.000143528	7.87E-05	0	2.42E-05	1.87E-05	1.34E-05	9.14E-06	0	0	2.49E-06	7.77E-06	1.15E-05	7.68E-06	1.82E-05	5.47E-05	4.88E-05	3.46E-06	4.82E-05	3.33E-05	2.92E-05	4.99E-05	1.18E-05	3.56E-05	5.12E-06	3.55E-06	8.25E-06	3.91E-05	2.92E-05	4.03E-06	1.07E-05	2.72E-05	6.10E-05	6.64E-05	3.48E-05	3.02E-05	0	3.14E-05	2.64E-05	0.00011573	0	0	3.80E-05	3.65E-05	2.15E-05	1.88E-05	2.11E-05	1.01E-05	7.36E-05	2.16E-05	4.89E-05	1.48E-05	6.35E-05	0	4.12E-06	2.79E-05	2.95E-05	9.63E-06	0	2.00E-05	2.02E-05	1.45E-05	8.00E-05	1.34E-05	0.000103631	8.23E-06	1.19E-05	5.01E-05	1.01E-05	3.47E-06	7.56E-06	1.53E-05	0	4.81E-05	1.13E-05	3.35E-05	2.95E-05	0	2.85E-05	5.92E-06	4.51E-06	7.42E-06	1.90E-05	4.61E-05	5.66E-05	4.59E-06	1.54E-05	2.25E-05	3.96E-06	2.97E-05	0.000107373	9.07E-06	1.70E-06	0	2.95E-05	5.49E-05	4.64E-05	0	4.55E-05	1.44E-05	1.42E-05	7.53E-06	8.43E-06	1.14E-05	9.54E-05	1.68E-05	1.30E-05	2.87E-05	4.43E-05	1.35E-05	2.20E-05	3.13E-05	0.00011152	8.17E-05	6.17E-05	0.00010127	4.82E-05	1.26E-05	1.76E-05	2.83E-05	1.91E-05	1.33E-05	0	1.94E-05	2.23E-06	2.10E-05	0	2.05E-05
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	1.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34E-06	0	0	0	0	0	0	5.22E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54E-06	0	0	0	7.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0	6.50E-07	0	0	0	0	0	0	0	0	0	0	0	7.41E-07	0	0	0	0	0	5.00E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38E-06	0	8.07E-07	0	0	0	0	8.19E-07	0	0	0	5.03E-07	1.18E-06	6.56E-07	3.17E-06	0	0	0	6.11E-06	0	0	0	0	0	0	0	0	0	9.06E-06	0	1.30E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-06	0	4.48E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45E-06	1.22E-06	0	0	7.52E-07	0	0	0	0	0	0	0	0	0	3.30E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29E-06	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	1.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_sp_ASF356	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24E-07	0	0	0	0	0	0	4.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19E-07	1.11E-06	0	0	0	0	0	0	0	0	1.33E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.48E-06	0	0	0	7.73E-07	0	0	0	0	0	0	0	0	0	0	4.61E-06	0	0	2.70E-06	0	0	0	0	0	3.01E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_sp_ASF502	0	5.97E-06	3.71E-06	0	5.88E-07	3.43E-07	1.02E-06	9.77E-07	0	9.86E-07	0	0	6.40E-07	8.98E-07	0	0	0	0	1.07E-06	0	1.04E-06	1.35E-06	7.29E-07	0	4.79E-06	0	0	0	0	0	0	0	0	1.37E-06	0	4.60E-06	0	0	3.14E-06	1.09E-06	8.23E-07	3.58E-06	4.13E-06	0	0	2.53E-06	0	0	0	0	0	6.29E-07	0	0	0	0	0	1.77E-07	5.51E-07	7.33E-07	0	0	0	7.97E-06	0	0	5.99E-06	8.72E-06	0	6.64E-07	7.81E-07	2.35E-06	0	4.73E-06	1.07E-06	5.09E-06	0	2.96E-06	1.04E-06	0	3.11E-06	0	4.79E-06	0	0	0	0	0	0	9.08E-06	0	1.01E-06	0	0	0	2.24E-06	3.98E-07	0	0	9.28E-07	0	0	1.86E-06	0	0	0	8.08E-07	8.52E-07	0	0	0	3.24E-06	0	0	6.48E-06	0	2.33E-06	9.79E-07	0	0	1.15E-06	0	0	4.95E-06	0	3.01E-06	9.15E-07	0	0	0	0	2.03E-06	0	8.11E-07	0	0	2.66E-06	8.96E-07	0	0	0	2.37E-06	4.19E-06	0	2.58E-06	2.20E-06	0	0	1.04E-06	0	0	0	0	0	4.62E-07	0	0	0	4.57E-06	1.74E-06	0	0	8.93E-07	2.15E-06	1.80E-06	2.75E-06	0	1.13E-06	9.00E-07	0	1.85E-06	4.74E-06	0	6.17E-06	0	0	0	4.98E-06	0	0	0	0	0	0	1.48E-06	3.29E-06	2.30E-06	1.13E-06	1.91E-06	2.57E-06	0	0	0	0	0	0	0	0	0	0	0	6.96E-07	0	0	0	1.27E-06	8.35E-07	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Corynebacterium.s__Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26E-07	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Dorea.s__Dorea_sp_5_2	0	7.21E-06	1.84E-06	1.69E-06	5.79E-07	0	5.93E-07	2.01E-06	1.38E-06	5.39E-07	8.04E-07	7.28E-07	0	2.54E-06	1.29E-06	0	0	0	8.84E-07	6.17E-07	7.35E-07	1.92E-06	6.77E-07	1.74E-06	5.76E-06	0	0	0	0	0	0	0	0	0	3.40E-06	2.42E-06	1.10E-06	5.03E-06	0	1.53E-06	2.39E-06	0	0	2.71E-06	0	1.32E-06	1.16E-06	1.84E-06	4.59E-07	2.54E-06	3.66E-06	9.78E-07	0	1.10E-06	1.20E-06	0	0	0	0	4.58E-07	0	1.21E-06	9.65E-07	3.07E-06	4.74E-06	0	0	5.70E-06	1.80E-06	0	1.19E-06	0	2.38E-06	0	0	2.78E-06	3.52E-06	0	6.70E-07	0	0	0	1.19E-06	4.94E-06	0	0	0	0	0	7.31E-06	5.05E-06	0	0	4.10E-07	0	2.65E-06	3.00E-06	0	0	0	4.03E-06	0	2.89E-06	5.26E-06	0	0	9.03E-07	7.29E-07	1.31E-06	0	0	1.79E-06	0	0	1.22E-06	0	0	3.69E-06	0	2.27E-06	1.89E-06	3.24E-06	0	0	0	0	2.27E-06	0	0	0	0	0	0	0	0	3.22E-06	0	2.34E-06	0	1.69E-06	6.22E-06	4.68E-06	2.66E-06	5.32E-06	0	1.40E-06	0	2.94E-06	0	1.26E-06	0	0	0	0	3.47E-06	0	2.23E-06	5.10E-06	9.92E-06	4.88E-06	0	2.77E-06	0	0	9.03E-07	8.25E-07	0	4.92E-07	0	0	0	0	3.38E-06	2.55E-06	0	0	0	5.56E-06	0	0	0	0	5.08E-07	8.81E-07	0	4.06E-06	0	0	0	3.90E-06	1.46E-06	1.86E-06	3.83E-06	0	7.42E-06	3.06E-06	0	0	1.60E-06	5.04E-06	0	0	0	0	1.58E-06	0	2.14E-06	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Enterococcus.s__Enterococcus_hirae	0	0	0	0	0	0	0	0	0	0	0	0	0	7.62E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Enterorhabdus.s__Enterorhabdus_caecimuris	2.58E-06	1.36E-06	5.13E-07	0	0	4.18E-07	3.34E-06	0	8.45E-07	0	0	0	0	6.24E-07	1.36E-06	9.72E-07	7.40E-07	1.09E-06	6.32E-07	7.85E-07	0	0	0	5.29E-07	1.58E-06	0	0	0	0	0	0	0	0	0	0	0	5.53E-07	0	0	0	0	0	0	0	0	6.12E-07	0	0	1.07E-06	7.34E-06	0	0	9.47E-07	0	7.19E-07	0	3.80E-06	1.29E-06	0	0	0	5.04E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65E-06	0	0	4.65E-07	0	0	0	0	0	0	0	0	0	0	0	2.36E-06	0	0	0	0	3.97E-07	9.82E-07	0	0	0	1.23E-06	0	0	0	0	0	0	0	3.95E-07	0	0	0	3.89E-06	0	0	0	0	9.65E-07	0	0	0	0	0	0	0	0	0	1.98E-06	0	1.10E-06	0	0	0	0	1.70E-06	0	0	0	0	0	0	1.03E-06	0	0	0	8.96E-07	0	0	0	0	9.71E-07	0	0	0	0	0	0	0	0	0	2.39E-06	0	4.44E-07	5.25E-07	0	0	0	0	0	0	7.61E-07	1.10E-06	1.87E-06	0	0	0	0	0	0	0	2.30E-06	0	4.07E-07	0	0	8.21E-07	0	0	0	0	0	0	0	0	0	0	1.75E-06	0	0	0	0	0	0	3.34E-06	0	0	4.67E-06	2.32E-06	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Erysipelatoclostridium.s__Clostridium_cocleatum	0	0	4.57E-07	0	0	0	0	0	7.94E-07	0	0	0	0	2.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81E-06	0	0	0	0	0	0	0	0	0	0	1.11E-05	0	0	0	0	0	0	1.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14E-06	0	0	0	0	0	0	0	0	0	0	0	1.22E-06	0	0	0	3.49E-06	8.87E-06	0	0	0	0	1.47E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-05	0	5.20E-06	0	0	0	0	0	0	0	0	0	0	0	2.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.10E-06	9.12E-06	0	0	0	0	2.25E-06	0	0	0	0	0	0	0	0	3.78E-06	0	0	0	0	0	0	0	0	0	1.48E-06	0	0	0	0	0	0	0	3.58E-06	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	0	0	0	0	0	1.94E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.11E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40E-05	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Escherichia.s__Escherichia_coli	0	2.89E-06	7.69E-06	4.49E-07	0	0	0	0	7.65E-05	1.17E-06	6.92E-07	5.04E-07	0	5.13E-06	0	0	0	0	0	0	3.62E-06	0	0	0	0	1.56E-05	1.15E-05	0	0	0	0	0	1.04E-06	0	0	3.37E-06	0	0	0	0	0	0	0	1.94E-06	0	0	0	0	0	0	0	2.00E-05	0	0	3.29E-05	0	0	0	0	0	0	0	0	0	0	0	2.43E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.69E-06	3.40E-05	0	0	0	0	0	0	0	5.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000266867	0	9.66E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81E-06	0	0	0	1.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.69E-06	6.90E-06	0	0	0	0	0	0	0	5.13E-06
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_sp_14_2	0	0	0	0	0	0	0	5.16E-06	1.12E-06	0	0	0	0	9.90E-07	0	0	0	0	0	8.03E-06	2.41E-06	0	0	0	1.39E-06	0	0	0	0	4.39E-06	0	0	0	1.72E-06	0	0	7.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52E-06	0	0	0	0	0	0	0	0	2.05E-06	0	0	1.47E-06	0	0	0	0	0	1.11E-06	0	0	0	0	0	0	0	0	2.42E-06	1.74E-06	0	0	0	0	0	0	0	0	0	0	7.74E-07	0	2.48E-06	0	0	0	0	1.77E-06	0	0	4.35E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-06	0	0	0	0	0	0	0	0	2.60E-06	0	0	0	0	7.57E-07	0	3.38E-06	0	0	0	0	0	0	0	0	0	0	0	2.92E-06	0	0	0	0	0	0	0	0	0	6.84E-06	0	0	0	0	0	2.36E-06	0	1.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15E-06	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Faecalibaculum.s__Faecalibaculum_rodentium	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91E-06	0	0	1.52E-06	9.98E-07	0	0	0	5.43E-06	0	0	0	4.92E-06	6.00E-06	0	0	0	0	0	0	0	0	0	0	0	4.42E-06	0	0	0	0	0	0	0	0	0	1.61E-06	0	0	0	0	0	0	0	3.97E-06	1.92E-06	2.82E-06	5.61E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04E-05	0	0	0	0	0	0	0	0	0	0	0	3.95E-06	0	0	0	0	0	0	5.98E-06	0	0	0	0	4.87E-06	0	0	0	5.06E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63E-06	0	0	0	0	0	0	0	7.09E-06	0	0	0	0	0	0	0	0	0	0	7.94E-07	0	0	0	0	0	7.91E-06	0	0	0	0	0	0	0	0	2.54E-06	0	0	0	0	0	0	0	0	0	0	4.72E-06	0	0	8.72E-06	0	0	0	0	0	0	0	2.23E-06	0	0	5.22E-06	0	0	0	0	0	0	0	0	1.98E-06	0	0	0	0	0	0
